Stop_street,stop_lat,stop_name,stop_region,zone_id,stop_country,stop_lon,stop_city,stop_id,stop_desc,stop_postcode,location_type
,44.630074,ridge Valley Rd in front of civic address 39,,,,-63.621403,,8167,,,0
,44.712811,lake Major Rd in front of civic address 190,,,,-63.46751,,7109,,,0
,44.640781,terminal Rd before and opposite Lower Water St,,,,-63.568546,,8827,,,0
,44.653362,st Margarets Bay Rd after civic address 2172,,,,-63.728149,,6150,,,0
,44.658607,st Margarets Bay Rd after civic address 2395,,,,-63.738003,,6151,,,0
,44.65863,st Margarets Bay Rd after civic address 2404,,,,-63.738319,,6152,,,0
,44.638039,st Margarets Bay Rd after County Ind. Park Entr.,,,,-63.689541,,6153,,,0
,44.636257,st Margarets Bay Rd opposite Beech Tree Run,,,,-63.681747,,6154,,,0
,44.637112,st Margarets Bay Rd after Greenhead Rd,,,,-63.700184,,6156,,,0
,44.635757,st Margarets Bay Rd in front of civic address 1075,,,,-63.677231,,6157,,,0
,44.640923,st Margarets Bay Rd after Keating Rd,,,,-63.624115,,6158,,,0
,44.640236,st Margarets Bay Rd in front of Fairmount Rd,,,,-63.624603,,6159,,,0
,44.599689,greystone Dr [inbound] in front of civic address 146,,,,-63.612789,,6796,,,0
,44.599342,greystone Dr before civic address 192,,,,-63.614296,,6797,,,0
,44.684856,gregory Dr before Wildwood Blvd,,,,-63.497841,,6794,,,0
,44.599735,greystone Dr in front of civic address 146,,,,-63.612728,,6795,,,0
,44.685867,gregory Dr after Flying Cloud Dr,,,,-63.494934,,6792,,,0
,44.685749,gregory Dr in front of Joseph Giles Sch,,,,-63.49485,,6793,,,0
,44.651844,gottingen St [southbound] after civic address 2128,,,,-63.583302,,6790,,,0
,44.662655,fraser Rd opposite civic address 12,,,,-63.747265,,6722,,,0
,44.647533,franklyn St in front of civic address 5,,,,-63.541462,,6721,,,0
,44.599331,greystone Dr [inbound] before civic address 192,,,,-63.614246,,6798,,,0
,44.60001,greystone Dr before Cranberry Crt,,,,-63.612526,,6799,,,0
,44.646355,franklyn St after civic address 35,,,,-63.539429,,6720,,,0
,44.664776,gaston Rd in front of civic address 96,,,,-63.535114,,6727,,,0
,44.664803,gaston Rd in front of civic address 76,,,,-63.537067,,6726,,,0
,44.664627,gaston Rd in front of civic address 103 (turning Loop),,,,-63.533588,,6725,,,0
,44.66621,gaston Rd after Regency Dr,,,,-63.541874,,6724,,,0
,44.666641,duffus St after Isleville St,,,,-63.607098,,6581,,,0
,44.670361,duffus St before Barrington St,,,,-63.602131,,6587,,,0
,44.669163,duffus St before Albert St,,,,-63.603687,,6586,,,0
,44.665855,duffus St before Agricola St,,,,-63.608551,,6585,,,0
,44.668461,duffus St before Acadia St,,,,-63.604954,,6584,,,0
,44.650105,robie St [northbound] before Cunard St,,,,-63.591885,,8206,,,0
,44.664749,robie St [northbound] before Duffus St,,,,-63.609859,,8207,,,0
,44.797588,beaverbank Rd in front of civic address 278,,,,-63.689381,,8756,,,0
,44.791546,beaverbank Rd in front of civic address 204,,,,-63.692566,,8757,,,0
,44.657413,robie St [southbound] before Almon St,,,,-63.599163,,8202,,,0
,44.663498,robie St [southbound] before Cabot St,,,,-63.608299,,8203,,,0
,44.750275,damascus Rd opposite Verdi Dr,,,,-63.641396,,8200,,,0
,44.657295,robie St [northbound] before Almon St,,,,-63.59864,,8201,,,0
,44.540451,ketch Harbour Rd opposite civic address 438,,,,-63.548027,,7625,,,0
,44.644917,horseshoe Lake Dr after Suzie Lake Cr,,,,-63.675407,,6378,,,0
,44.637562,chain Lake Dr [outbound] before Lakelands Blvd,,,,-63.669502,,6379,,,0
,44.68919,caledonia Rd before Westwood Dr,,,,-63.531628,,6370,,,0
,44.690601,caledonia Rd before Kennedy Dr,,,,-63.532337,,6371,,,0
,44.700096,caledonia Rd before Montebello Dr,,,,-63.537933,,6372,,,0
,44.6502,carlisle Dr after and opposite Huntington Dr,,,,-63.47765,,6373,,,0
,44.651516,carlisle Dr before Shrewsbury Rd,,,,-63.479744,,6374,,,0
,44.637772,chain Lake Dr after Lakelands Blvd,,,,-63.669418,,6375,,,0
,44.638321,horseshoe Lake Dr [inbound] in front of civic address 255,,,,-63.67152,,6376,,,0
